type,delta_bits,delta_frac
mod-mismatch,212.8987,0.8696
mod-mismatch,245.4013,1.0000
mod-mismatch,232.8336,0.8750
mod-mismatch,258.9098,1.0000
mod-mismatch,107.2509,0.4783
mod-mismatch,88.7786,0.3913
mod-mismatch,106.1131,0.4783
mod-mismatch,193.7401,0.8696
mod-mismatch,159.4669,0.7727
mod-mismatch,192.2278,0.9091
mod-mismatch,174.5348,0.7727
mod-mismatch,217.2145,1.0000
mod-mismatch,174.1645,0.7727
mod-mismatch,223.2049,1.0000
mod-mismatch,244.5874,0.9583
mod-mismatch,220.6403,0.8750
mod-mismatch,238.7941,0.9167
mod-mismatch,204.7948,0.8750
mod-mismatch,221.5426,0.9130
mod-mismatch,229.9880,0.9565
mod-mismatch,207.8254,0.9545
mod-mismatch,168.2064,0.8182
mod-mismatch,171.6880,0.7727
mod-mismatch,198.3918,0.8636
mod-mismatch,173.7637,0.7727
mod-mismatch,99.9879,0.3636
mod-mismatch,193.1701,0.9091
mod-mismatch,207.0894,0.9545
