type,delta_bits,delta_frac
mod-mismatch,191.0219,0.8636
mod-mismatch,203.9853,0.9545
mod-mismatch,237.6983,0.9583
mod-mismatch,211.3130,1.0000
mod-mismatch,210.0698,0.9545
mod-mismatch,180.3367,0.7391
mod-mismatch,231.1916,0.9565
mod-mismatch,219.4486,0.9545
mod-mismatch,220.9902,0.9091
mod-mismatch,224.7128,1.0000
mod-mismatch,238.3932,1.0000
mod-mismatch,223.6241,0.9545
mod-mismatch,228.1526,0.9130
mod-mismatch,168.1477,0.7826
mod-mismatch,190.6776,0.8261
mod-mismatch,98.0143,0.4348
mod-mismatch,181.7505,0.8261
mod-mismatch,181.1446,0.7826
mod-mismatch,197.4701,0.9130
mod-mismatch,220.8823,1.0000
mod-mismatch,200.8323,0.9091
mod-mismatch,166.2436,0.7727
mod-mismatch,187.2288,0.8636
mod-mismatch,208.0950,0.8696
mod-mismatch,207.9099,0.8696
mod-mismatch,231.5613,1.0000
mod-mismatch,208.4921,0.8696
mod-mismatch,231.1337,1.0000
mod-mismatch,229.1562,0.9565
mod-mismatch,112.7347,0.4783
mod-mismatch,221.7686,0.9565
mod-mismatch,208.4897,0.9130
mod-mismatch,239.8790,1.0000
mod-mismatch,213.0529,0.8750
mod-mismatch,246.6255,0.9583
mod-mismatch,245.4592,0.9583
mod-mismatch,215.0198,0.8333
mod-mismatch,173.6231,0.7826
mod-mismatch,216.6346,0.9565
mod-mismatch,196.6693,0.7826
mod-mismatch,154.7161,0.7619
mod-mismatch,167.0138,0.8095
mod-mismatch,165.8943,0.8095
mod-mismatch,145.7460,0.7143
mod-mismatch,198.3313,1.0000
mod-mismatch,236.1602,0.8800
mod-mismatch,214.9547,0.9565
mod-mismatch,201.7666,0.8696
mod-mismatch,215.0656,0.9565
mod-mismatch,233.4485,0.9565
mod-mismatch,213.6486,0.8333
mod-mismatch,209.6270,0.8696
mod-mismatch,189.2886,0.9091
