cond,class,euler_factors,sealed
3942,3942.b,null,0
3944,3944.a,null,0
3950,3950.a,null,0
3950,3950.b,null,0
3956,3956.a,null,0
3960,3960.a,null,0
3967,3967.a,null,0
3969,3969.a,null,0
3969,3969.b,null,0
3969,3969.c,null,0
3969,3969.d,null,0
3970,3970.a,null,0
3973,3973.a,null,0
3978,3978.a,null,0
3979,3979.a,null,0
3984,3984.a,null,0
3989,3989.a,null,0
3997,3997.a,null,0
4000,4000.a,null,0
4006,4006.a,null,0
4016,4016.a,null,0
4021,4021.a,null,0
4025,4025.a,null,0
4032,4032.a,null,0
4036,4036.a,null,0
4043,4043.a,null,0
4044,4044.a,null,0
4046,4046.a,null,0
4046,4046.b,null,0
4048,4048.a,null,0
4051,4051.a,null,0
4059,4059.a,null,0
4069,4069.a,null,0
4075,4075.a,null,0
4080,4080.a,null,0
4086,4086.a,null,0
4086,4086.b,null,0
4096,4096.a,null,0
4096,4096.b,null,0
4096,4096.c,null,0
4096,4096.d,null,0
4096,4096.e,null,0
4096,4096.f,null,0
4100,4100.a,null,0
4109,4109.a,null,0
4110,4110.a,null,0
4112,4112.a,null,0
4116,4116.a,null,0
4116,4116.b,null,0
4116,4116.c,null,0
4118,4118.a,null,0
4123,4123.a,null,0
4125,4125.a,null,0
4128,4128.a,null,0
4128,4128.b,null,0
4132,4132.a,null,0
4136,4136.a,null,0
4136,4136.b,null,0
4136,4136.c,null,0
4137,4137.a,null,0
4138,4138.a,null,0
4146,4146.a,null,0
4150,4150.a,null,0
4152,4152.a,null,0
4156,4156.a,null,0
4157,4157.a,null,0
4158,4158.a,null,0
4160,4160.a,null,0
4167,4167.a,null,0
4168,4168.a,null,0
4171,4171.a,null,0
4173,4173.a,null,0
4178,4178.a,null,0
4181,4181.a,null,0
4185,4185.a,null,0
4185,4185.b,null,0
4185,4185.c,null,0
4190,4190.a,null,0
4196,4196.a,null,0
4196,4196.b,null,0
4197,4197.a,null,0
4200,4200.a,null,0
4225,4225.a,null,0
4234,4234.a,null,0
4234,4234.b,null,0
4236,4236.a,null,0
4236,4236.b,null,0
4240,4240.a,null,0
4252,4252.a,null,0
4254,4254.a,null,0
4254,4254.b,null,0
4255,4255.a,null,0
4256,4256.a,null,0
4263,4263.a,null,0
4264,4264.a,null,0
4273,4273.a,null,0
4276,4276.a,null,0
4282,4282.a,null,0
4288,4288.a,null,0
4288,4288.b,null,0
4291,4291.a,null,0
4293,4293.a,null,0
4293,4293.b,null,0
4293,4293.c,null,0
4296,4296.a,null,0
4298,4298.a,null,0
4304,4304.a,null,0
4304,4304.b,null,0
4310,4310.a,null,0
4312,4312.a,null,0
4324,4324.a,null,0
4324,4324.b,null,0
4329,4329.a,null,0
4330,4330.a,null,0
4331,4331.a,null,0
4332,4332.a,null,0
