label,class,cond,abs_disc,eqn,bad_lfactors,is_gl2_type,end_alg,geom_end_alg,st_group,Lhash,sealed
8518.a.34072.1,8518.a,8518,34072,"""[[3,1,5,0,2],[1,0,0,1]]""","""[[2,[1,0,1,-2]],[4259,[1,1,4259,4259]]]""",False,Q,Q,USp(4),63936648597926299,0
8522.a.17044.1,8522.a,8522,17044,"""[[0,0,1,2,3,2],[1,1,1]]""","""[[2,[1,2,3,2]],[4261,[1,-65,4325,-4261]]]""",False,Q,Q,USp(4),1401804089582978437,0
8523.a.690363.1,8523.a,8523,690363,"""[[-2,1,4,-2,-1],[0,0,0,1]]""","""[[3,[1,0,-1]],[947,[1,58,1004,947]]]""",False,Q,Q,USp(4),913924479243276055,0
8528.a.136448.1,8528.a,8528,136448,"""[[0,-4,-21,35,-16,2],[0,1]]""","""[[2,[1,1]],[13,[1,-5,17,-13]],[41,[1,7,47,41]]]""",False,Q,Q,USp(4),2296882214910680591,0
8532.a.68256.1,8532.a,8532,68256,"""[[-5,-1,-8,0,-3,1],[0,1,1]]""","""[[2,[1,0,-1]],[3,[1,0,3]],[79,[1,1,79,79]]]""",False,Q,Q,USp(4),1094026898269124362,0
8532.b.674028.1,8532.b,8532,674028,"""[[-14,46,-43,0,12,0,-2],[0,1,1]]""","""[[2,[1,0,-1]],[3,[1,2,3]],[79,[1,-9,87,-79]]]""",False,Q,Q,USp(4),322070078878319732,0
8536.a.273152.1,8536.a,8536,273152,"""[[1,1,0,-3,-3],[0,1,0,1]]""","""[[2,[1,-1]],[11,[1,6,16,11]],[97,[1,5,91,-97]]]""",False,Q,Q,USp(4),782671694116818897,0
8539.a.8539.1,8539.a,8539,8539,"""[[1,1],[0,0,0,1]]""","""[[8539,[1,119,8657,8539]]]""",False,Q,Q,USp(4),2179539400796442122,0
8549.a.8549.1,8549.a,8549,8549,"""[[1,2,0,-2,-1,1],[1]]""","""[[83,[1,8,74,-83]],[103,[1,-15,117,-103]]]""",False,Q,Q,USp(4),1675471873417029032,0
8549.b.8549.1,8549.b,8549,8549,"""[[0,-1,0,4,-4,1],[0,1]]""","""[[83,[1,-9,73,83]],[103,[1,5,97,-103]]]""",False,Q,Q,USp(4),374948881991960458,0
8550.a.85500.1,8550.a,8550,85500,"""[[-4,-15,-16,2,8],[1,0,0,1]]""","""[[2,[1,2,3,2]],[3,[1,2,1]],[5,[1,-2,1]],[19,[1,-5,23,-19]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),1958053561955095536,0
8550.b.213750.1,8550.b,8550,213750,"""[[3,9,1,-13,-3,5],[0,1,1]]""","""[[2,[1,0,1,-2]],[3,[1,0,-1]],[5,[1,-2,1]],[19,[1,-3,15,19]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),482695452453262417,0
8550.c.256500.1,8550.c,8550,256500,"""[[-5,10,-22,21,-22,10,-5],[0,1,1]]""","""[[2,[1,0,1,2]],[3,[1,0,-1]],[5,[1,2,1]],[19,[1,5,23,19]]]""",True,Q x Q,Q x Q,SU(2)xSU(2),1629935082591245388,0
8551.a.8551.1,8551.a,8551,8551,"""[[-1,-2,-1,1,2,0,-1],[0,1,1]]""","""[[17,[1,3,13,-17]],[503,[1,-41,543,-503]]]""",False,Q,Q,USp(4),597271720034790244,0
8554.a.17108.1,8554.a,8554,17108,"""[[1,-3,0,0,-1],[0,1,1,1]]""","""[[2,[1,0,1,2]],[7,[1,0,6,-7]],[13,[1,4,8,-13]],[47,[1,-11,57,-47]]]""",False,Q,Q,USp(4),206533632116178581,0
8556.a.410688.1,8556.a,8556,410688,"""[[0,0,-3,1,1,1],[1,1,0,1]]""","""[[2,[1,1,1]],[3,[1,2,4,3]],[23,[1,5,17,-23]],[31,[1,8,38,31]]]""",False,Q,Q,USp(4),2087167849845517629,0
8556.b.410688.1,8556.b,8556,410688,"""[[16,21,6,-4,-3],[1,1,0,1]]""","""[[2,[1,1,1]],[3,[1,0,2,-3]],[23,[1,-5,17,23]],[31,[1,-8,22,31]]]""",False,Q,Q,USp(4),813479738355125986,0
8560.a.342400.1,8560.a,8560,342400,"""[[0,0,-3,6,-6,4,-1],[1,1]]""","""[[2,[1,-1]],[5,[1,4,8,5]],[107,[1,17,89,-107]]]""",False,Q,Q,USp(4),1752178949057114747,0
