lmfdb_label,Clabel,conductor,ainvs
510.e6,510e1,510,"[1, 1, 1, -80, 305]"
510.e7,510e6,510,"[1, 1, 1, 3060, 102705]"
510.e8,510e8,510,"[1, 1, 1, 6550, -962215]"
510.f1,510f3,510,"[1, 0, 0, -186, -990]"
510.f2,510f4,510,"[1, 0, 0, -166, 806]"
510.f3,510f2,510,"[1, 0, 0, -16, -4]"
510.f4,510f1,510,"[1, 0, 0, 4, 0]"
510.g1,510g4,510,"[1, 0, 0, -52405, -4621873]"
510.g2,510g3,510,"[1, 0, 0, -3275, -72435]"
510.g3,510g2,510,"[1, 0, 0, -655, -6223]"
510.g4,510g1,510,"[1, 0, 0, 25, -375]"
513.a1,513b1,513,"[1, -1, 1, -5, 6]"
513.b1,513a1,513,"[1, -1, 0, -42, -127]"
514.a1,514b1,514,"[1, 0, 0, -4, 0]"
514.a2,514b2,514,"[1, 0, 0, 16, 4]"
514.b1,514a3,514,"[1, -1, 1, -21931, -1244565]"
514.b2,514a2,514,"[1, -1, 1, -1371, -19189]"
514.b3,514a4,514,"[1, -1, 1, -1291, -21589]"
514.b4,514a1,514,"[1, -1, 1, -91, -245]"
516.a1,516b1,516,"[0, -1, 0, 11, -47]"
516.b1,516a1,516,"[0, -1, 0, -4, -8]"
516.c1,516c2,516,"[0, 1, 0, -228, -1404]"
516.c2,516c1,516,"[0, 1, 0, -13, -28]"
516.d1,516d2,516,"[0, 1, 0, -7604, -257772]"
516.d2,516d1,516,"[0, 1, 0, -44, -732]"
517.a1,517b1,517,"[0, 0, 1, -16, -26]"
517.b1,517c1,517,"[0, -1, 1, -52, -3863]"
517.c1,517a1,517,"[0, -1, 1, 36, -3]"
520.a1,520a3,520,"[0, 0, 0, -563, -5138]"
520.a2,520a2,520,"[0, 0, 0, -43, -42]"
520.a3,520a1,520,"[0, 0, 0, -23, 42]"
520.a4,520a4,520,"[0, 0, 0, 157, -322]"
520.b1,520b1,520,"[0, -1, 0, -20, -28]"
520.b2,520b2,520,"[0, -1, 0, 0, -100]"
522.a1,522c2,522,"[1, -1, 0, -1311, -17947]"
522.a2,522c1,522,"[1, -1, 0, -6, -54]"
522.b1,522f2,522,"[1, -1, 0, -4095, 102577]"
522.b2,522f1,522,"[1, -1, 0, 45, -203]"
522.c1,522e1,522,"[1, -1, 0, -45, 139]"
522.d1,522d2,522,"[1, -1, 0, -58599, 5490531]"
522.d2,522d1,522,"[1, -1, 0, -9, -3699]"
522.e1,522b2,522,"[1, -1, 0, -32766, 2291092]"
522.e2,522b1,522,"[1, -1, 0, -2046, 36244]"
522.f1,522a1,522,"[1, -1, 0, 12, -208]"
522.g1,522i1,522,"[1, -1, 1, 1, 7]"
522.h1,522j1,522,"[1, -1, 1, -509, 4677]"
522.i1,522k4,522,"[1, -1, 1, -2786, 57287]"
522.i2,522k3,522,"[1, -1, 1, -446, -2329]"
522.i3,522k2,522,"[1, -1, 1, -176, 911]"
522.i4,522k1,522,"[1, -1, 1, 4, 47]"
522.j1,522g2,522,"[1, -1, 1, -294896, -61564589]"
522.j2,522g1,522,"[1, -1, 1, -18416, -960173]"
522.k1,522l1,522,"[1, -1, 1, -11, -17]"
522.l1,522h1,522,"[1, -1, 1, -146, 713]"
522.l2,522h2,522,"[1, -1, 1, -56, 1513]"
522.m1,522m1,522,"[1, -1, 1, -69341, -33115291]"
522.m2,522m2,522,"[1, -1, 1, 619564, 858878903]"
524.a1,524a1,524,"[0, 1, 0, -309, 1991]"
525.a1,525a3,525,"[1, 1, 1, -2813, -58594]"
525.a2,525a2,525,"[1, 1, 1, -188, -844]"
525.a3,525a1,525,"[1, 1, 1, -63, 156]"
525.a4,525a4,525,"[1, 1, 1, 437, -4594]"
525.b1,525d1,525,"[1, 0, 0, -18, 27]"
525.b2,525d2,525,"[1, 0, 0, 7, 102]"
525.c1,525c1,525,"[1, 1, 0, -450, 3375]"
525.c2,525c2,525,"[1, 1, 0, 175, 12750]"
525.d1,525b5,525,"[1, 1, 0, -19600, -1064375]"
525.d2,525b3,525,"[1, 1, 0, -1225, -17000]"
525.d3,525b4,525,"[1, 1, 0, -975, 11250]"
525.d4,525b6,525,"[1, 1, 0, -850, -27125]"
525.d5,525b2,525,"[1, 1, 0, -100, -125]"
525.d6,525b1,525,"[1, 1, 0, 25, 0]"
528.a1,528f3,528,"[0, -1, 0, -161040, 24927936]"
528.a2,528f4,528,"[0, -1, 0, -160880, 24979776]"
528.a3,528f1,528,"[0, -1, 0, -720, -5184]"
528.a4,528f2,528,"[0, -1, 0, 1840, -35904]"
528.b1,528b3,528,"[0, -1, 0, -704, -6960]"
528.b2,528b4,528,"[0, -1, 0, -104, 288]"
528.b3,528b2,528,"[0, -1, 0, -44, -96]"
528.b4,528b1,528,"[0, -1, 0, 1, -6]"
528.c1,528a1,528,"[0, -1, 0, -8, 0]"
528.c2,528a2,528,"[0, -1, 0, 32, -32]"
528.d1,528g3,528,"[0, -1, 0, -1288, 18160]"
528.d2,528g4,528,"[0, -1, 0, -648, 35568]"
528.d3,528g1,528,"[0, -1, 0, -88, -272]"
528.d4,528g2,528,"[0, -1, 0, 72, -1296]"
528.e1,528e2,528,"[0, -1, 0, -12, 12]"
528.e2,528e1,528,"[0, -1, 0, 3, 0]"
528.f1,528c1,528,"[0, -1, 0, -8016, 278928]"
528.f2,528c2,528,"[0, -1, 0, -7976, 281808]"
528.g1,528h3,528,"[0, 1, 0, -2344, -44428]"
528.g2,528h2,528,"[0, 1, 0, -184, -364]"
528.g3,528h1,528,"[0, 1, 0, -104, 372]"
528.g4,528h4,528,"[0, 1, 0, 696, -2124]"
528.h1,528i2,528,"[0, 1, 0, -1292, -18312]"
528.h2,528i1,528,"[0, 1, 0, -77, -330]"
528.i1,528d3,528,"[0, 1, 0, -472, -4108]"
528.i2,528d2,528,"[0, 1, 0, -32, -60]"
528.i3,528d1,528,"[0, 1, 0, -12, 12]"
528.i4,528d4,528,"[0, 1, 0, 88, -300]"
528.j1,528j3,528,"[0, 1, 0, -5632, 160820]"
528.j2,528j2,528,"[0, 1, 0, -352, 2420]"
528.j3,528j4,528,"[0, 1, 0, -192, 4788]"
528.j4,528j1,528,"[0, 1, 0, -32, -12]"
530.a1,530c1,530,"[1, -1, 0, 1226, 30580]"
530.b1,530b1,530,"[1, -1, 0, -4, 0]"
530.b2,530b2,530,"[1, -1, 0, 16, -12]"
530.c1,530a2,530,"[1, 0, 1, -2929, -61244]"
530.c2,530a1,530,"[1, 0, 1, -14, -188]"
530.d1,530d1,530,"[1, 1, 1, 9, 13]"
532.a1,532a2,532,"[0, 0, 0, -31, 54]"
532.a2,532a1,532,"[0, 0, 0, 4, 5]"
534.a1,534a1,534,"[1, 1, 1, -14, 11]"
534.a2,534a2,534,"[1, 1, 1, 26, 107]"
537.a1,537e1,537,"[0, 1, 1, -340, 2308]"
537.a2,537e2,537,"[0, 1, 1, 2450, -39812]"
