label,level,dim,sealed,a2,a3,a5,a7,a11,a13,a17,a19,a23,a29,a31,a37,a41,a43,a47,a53,a59,a61,a67,a71,a73,a79,a83,a89,a97
640.2.a.l,640,2,0,0,2,2,-2,4,0,0,0,-14,4,4,4,16,2,-10,8,8,12,-2,4,0,8,-6,-12,-24
641.2.a.a,641,20,0,-3,-9,-5,-24,-14,-14,-11,-38,-11,-12,-65,-5,-17,-7,-3,2,-1,-55,-3,-29,-28,-92,23,-6,5
641.2.a.b,641,33,0,0,7,1,28,6,12,3,42,11,0,81,5,9,25,35,-22,11,57,13,11,18,108,7,-32,3
642.2.a.a,642,1,0,-1,-1,2,2,4,-2,2,-4,6,-4,-2,2,6,12,6,4,-4,-2,-4,12,10,4,12,-6,-18
642.2.a.b,642,1,0,-1,1,-3,2,0,2,0,2,3,6,2,8,9,-1,-3,6,-3,-10,5,6,2,5,-6,9,2
642.2.a.c,642,1,0,1,-1,-1,-2,-4,-6,0,2,-1,-6,10,-4,-7,1,1,-6,-5,10,-5,6,14,9,-2,1,-10
642.2.a.d,642,2,0,-2,2,-1,-7,1,-7,-1,-10,-3,-2,-9,-3,10,-5,-3,4,10,3,-8,-4,-4,-6,-11,14,-10
642.2.a.e,642,2,0,-2,2,4,4,0,4,0,4,-4,-8,4,-4,-12,8,4,-8,4,20,0,-8,4,0,8,-12,4
642.2.a.f,642,3,0,-3,-3,0,-3,-1,-1,-9,4,-14,-4,-1,-3,-5,-8,-24,-14,-21,1,-19,-22,-2,-13,5,7,16
642.2.a.g,642,4,0,4,-4,5,3,3,1,9,2,1,16,-11,1,2,7,5,14,-6,-13,-4,-16,-16,-38,3,6,-14
642.2.a.h,642,5,0,5,5,0,5,1,7,1,4,-4,-8,3,1,-9,2,-18,-10,-11,5,-5,-14,6,-5,-13,-17,4
643.2.a.a,643,1,0,-1,-2,-2,-3,-6,-4,-4,-4,-1,3,-3,6,2,0,-6,11,-4,-12,0,-6,-8,-16,9,-3,7
643.2.a.b,643,24,0,-13,-7,-23,-10,-17,-23,-30,-1,-27,-65,-2,-34,-31,-4,-24,-80,-12,0,-5,-37,-17,3,-6,5,7
643.2.a.c,643,28,0,14,5,23,11,19,25,24,1,24,54,-1,32,25,6,22,71,10,12,5,17,1,-5,3,22,-2
644.2.a.a,644,1,0,0,-1,0,1,-2,-3,0,0,-1,1,-5,-8,-7,-4,3,-12,4,-6,-12,13,3,4,16,4,10
644.2.a.b,644,1,0,0,1,-2,-1,-2,-1,0,-6,1,1,1,-6,3,0,-3,6,8,-10,-2,5,-7,14,-4,-12,-8
644.2.a.c,644,5,0,0,1,4,5,2,3,4,6,5,5,-1,22,15,12,-21,2,0,-12,22,-15,17,2,-16,-24,38
644.2.a.d,644,5,0,0,3,2,-5,2,13,4,12,-5,13,-3,-4,1,-8,5,-8,12,20,-12,9,-9,-8,-28,32,4
645.2.a.a,645,1,0,-2,-1,1,4,1,5,-3,0,3,-8,-1,8,-1,-1,0,3,0,8,-9,4,4,8,15,-16,-15
645.2.a.b,645,1,0,-2,1,1,-4,-3,5,-7,0,-9,0,7,-8,3,-1,-8,-1,-8,0,-9,-12,-4,-8,3,-8,9
645.2.a.c,645,1,0,0,1,1,-2,-5,-5,5,-6,-9,8,-5,8,-7,-1,-8,-5,-4,0,9,10,4,16,-9,-6,3
645.2.a.d,645,1,0,1,-1,-1,0,4,6,-2,0,4,2,8,2,10,1,-4,-14,-4,-2,-4,0,14,8,8,-10,-6
645.2.a.e,645,1,0,1,-1,1,4,-2,2,0,6,0,10,8,-4,-10,-1,0,12,-6,-10,12,4,-8,-16,-12,-10,6
645.2.a.f,645,1,0,2,-1,1,0,5,1,5,4,3,-8,-9,8,-5,-1,8,-13,8,-8,3,-8,4,0,-9,12,5
