label,level_norm,level_label,dimension,weight,is_base_change,is_CM,sealed,eigs25
2.2.8.1-175.2-a,175,175.2,1,"[2, 2]",no,no,0,"[-1, -4, 1, -4, -6, 0, 2, -4, -1, -2, -8, -2, 10, -4, -4, 8, -10, -2, 4, -14, 16, 14, -4, 8, 14]"
2.2.8.1-184.1-a,184,184.1,1,"[2, 2]",no,no,0,"[0, 1, 5, -1, -4, -5, -6, 1, -3, -1, 10, -2, 5, 4, -3, 6, -8, -16, 2, 8, -9, 15, 10, 4, -6]"
2.2.8.1-184.2-a,184,184.2,1,"[2, 2]",no,no,0,"[0, 5, 1, -1, -5, -4, 1, -6, -3, 10, -1, 5, -2, -3, 4, -8, 6, 2, -16, -9, 8, 10, 15, -6, 4]"
2.2.8.1-191.1-a,191,191.1,1,"[2, 2]",no,no,0,"[-1, -1, -3, -2, -1, -2, -8, -2, 3, -7, -5, 1, 2, -8, 11, 10, -4, 7, -4, 9, 0, -9, 6, 17, -17]"
2.2.8.1-191.2-a,191,191.2,1,"[2, 2]",no,no,0,"[-1, -3, -1, -2, -2, -1, -2, -8, 3, -5, -7, 2, 1, 11, -8, -4, 10, -4, 7, 0, 9, 6, -9, -17, 17]"
2.2.8.1-194.1-a,194,194.1,1,"[2, 2]",no,no,0,"[1, 0, 2, -2, -2, 2, 0, -2, -8, 0, 0, 6, -4, 8, 4, -12, 6, 4, 0, 4, 4, 4, -12, 1, -18]"
2.2.8.1-194.2-a,194,194.2,1,"[2, 2]",no,no,0,"[1, 2, 0, -2, 2, -2, -2, 0, -8, 0, 0, -4, 6, 4, 8, 6, -12, 0, 4, 4, 4, -12, 4, -18, 1]"
2.2.8.1-196.2-a,196,196.2,1,"[2, 2]",no,no,0,"[0, 0, 4, 2, -6, -6, 0, 0, -2, 8, 4, 6, -6, 0, -12, 12, 0, 2, -14, -8, 4, -6, -6, 10, 2]"
2.2.8.1-196.3-a,196,196.3,1,"[2, 2]",no,no,0,"[0, 4, 0, 2, -6, -6, 0, 0, -2, 4, 8, -6, 6, -12, 0, 0, 12, -14, 2, 4, -8, -6, -6, 2, 10]"
2.2.8.1-200.1-a,200,200.1,1,"[2, 2]",yes,no,0,"[0, -4, -4, -6, 2, 2, 4, 4, 1, -8, -8, -6, -6, 4, 4, 0, 0, -6, -6, 0, 0, -6, -6, -14, -14]"
2.2.8.1-206.1-a,206,206.1,1,"[2, 2]",no,no,0,"[-1, 3, 0, -2, 4, 0, -2, 9, -1, 6, -10, 0, 2, 0, 2, 14, 12, -2, -13, -5, -8, -12, -7, -3, -5]"
2.2.8.1-206.1-b,206,206.1,1,"[2, 2]",no,no,0,"[-1, -4, -1, -5, -6, 6, -3, -6, 8, -10, 2, -9, -3, 6, 0, 9, 9, 2, 8, -1, -10, -9, 6, 14, 5]"
2.2.8.1-206.2-a,206,206.2,1,"[2, 2]",no,no,0,"[-1, 0, 3, -2, 0, 4, 9, -2, -1, -10, 6, 2, 0, 2, 0, 12, 14, -13, -2, -8, -5, -7, -12, -5, -3]"
2.2.8.1-206.2-b,206,206.2,1,"[2, 2]",no,no,0,"[-1, -1, -4, -5, 6, -6, -6, -3, 8, 2, -10, -3, -9, 0, 6, 9, 9, 8, 2, -10, -1, 6, -9, 5, 14]"
2.2.8.1-207.1-a,207,207.1,1,"[2, 2]",no,no,0,"[1, 4, 0, 1, 6, -6, 1, 0, 2, 4, -4, -10, -2, 0, -8, 0, 0, 10, -6, 0, 4, -10, -14, -14, -14]"
2.2.8.1-207.1-b,207,207.1,1,"[2, 2]",no,no,0,"[0, -4, -2, 1, -4, -2, -1, -8, -2, 4, -8, 0, 4, -8, 8, 8, 12, 10, -6, -10, 4, 8, 14, -6, 6]"
2.2.8.1-207.2-a,207,207.2,1,"[2, 2]",no,no,0,"[1, 0, 4, 1, -6, 6, 0, 1, 2, -4, 4, -2, -10, -8, 0, 0, 0, -6, 10, 4, 0, -14, -10, -14, -14]"
2.2.8.1-207.2-b,207,207.2,1,"[2, 2]",no,no,0,"[0, -2, -4, 1, -2, -4, -8, -1, -2, -8, 4, 4, 0, 8, -8, 12, 8, -6, 10, 4, -10, 14, 8, 6, -6]"
2.2.8.1-217.1-a,217,217.1,1,"[2, 2]",no,no,0,"[-2, 3, 1, 5, -2, 3, -1, -6, -4, 1, -3, -8, 7, 3, -12, 2, -8, -6, 14, 10, -5, -15, 5, -2, 13]"
2.2.8.1-217.1-b,217,217.1,1,"[2, 2]",no,no,0,"[2, 0, -1, 4, -8, 6, -6, -4, 6, -1, 2, -2, 0, -8, 12, 12, -16, 2, 2, -8, -8, 10, -12, -2, 12]"
2.2.8.1-217.1-c,217,217.1,1,"[2, 2]",no,no,0,"[0, -1, 1, 1, 6, 3, -9, 6, 8, 1, 5, -12, 3, -9, 0, -6, 12, 2, 2, -10, -1, 9, -15, -10, 17]"
